unique_im,stim_pos,stim_pos_i,angle_deg,angle_i,eccen_deg,angle_rad,delta_deg,delta_i,dot_xpos_pix,dot_ypos_pix,is_in_img_ltm
49,left,1,11.25,1,4,0.196349540849362,0,0,1029,193,1
50,left,1,33.75,2,4,0.589048622548086,0,0,1156,246,0
51,left,1,56.25,3,4,0.98174770424681,0,0,1254,344,1
52,left,1,78.75,4,4,1.37444678594553,0,0,1307,471,0
53,left,1,101.25,5,4,1.76714586764426,0,0,1307,609,1
54,left,1,123.75,6,4,2.15984494934298,0,0,1254,736,0
55,left,1,146.25,7,4,2.55254403104171,0,0,1156,834,1
56,left,1,168.75,8,4,2.94524311274043,0,0,1029,887,0
57,right,2,191.25,9,4,3.33794219443916,0,0,891,887,1
58,right,2,213.75,10,4,3.73064127613788,0,0,764,834,0
59,right,2,236.25,11,4,4.1233403578366,0,0,666,736,1
60,right,2,258.75,12,4,4.51603943953533,0,0,613,609,0
61,right,2,281.25,13,4,4.90873852123405,0,0,613,471,1
62,right,2,303.75,14,4,5.30143760293278,0,0,666,344,0
63,right,2,326.25,15,4,5.6941366846315,0,0,764,246,1
64,right,2,348.75,16,4,6.08683576633022,0,0,891,193,0
303,left,1,356.25,1,4,6.2177354602298,-15,1,937,187,0
307,left,1,18.75,2,4,0.327249234748937,-15,1,1074,205,0
311,left,1,41.25,3,4,0.719948316447661,-15,1,1193,274,0
315,left,1,63.75,4,4,1.11264739814639,-15,1,1277,384,0
319,left,1,86.25,5,4,1.50534647984511,-15,1,1313,517,0
323,left,1,108.75,6,4,1.89804556154383,-15,1,1295,654,0
327,left,1,131.25,7,4,2.29074464324256,-15,1,1226,773,0
331,left,1,153.75,8,4,2.68344372494128,-15,1,1116,857,0
335,right,2,176.25,9,4,3.07614280664001,-15,1,983,893,0
339,right,2,198.75,10,4,3.46884188833873,-15,1,846,875,0
343,right,2,221.25,11,4,3.86154097003745,-15,1,727,806,0
347,right,2,243.75,12,4,4.25424005173618,-15,1,643,696,0
351,right,2,266.25,13,4,4.6469391334349,-15,1,607,563,0
355,right,2,288.75,14,4,5.03963821513363,-15,1,625,426,0
359,right,2,311.25,15,4,5.43233729683235,-15,1,694,307,0
363,right,2,333.75,16,4,5.82503637853107,-15,1,804,223,0
304,left,1,6.25,1,4,0.109083078249646,-5,2,998,189,0
308,left,1,28.75,2,4,0.50178215994837,-5,2,1130,230,0
312,left,1,51.25,3,4,0.894481241647094,-5,2,1236,319,0
316,left,1,73.75,4,4,1.28718032334582,-5,2,1299,441,0
320,left,1,96.25,5,4,1.67987940504454,-5,2,1311,578,0
324,left,1,118.75,6,4,2.07257848674327,-5,2,1270,710,0
328,left,1,141.25,7,4,2.46527756844199,-5,2,1181,816,0
332,left,1,163.75,8,4,2.85797665014071,-5,2,1059,879,0
336,right,2,186.25,9,4,3.25067573183944,-5,2,922,891,0
340,right,2,208.75,10,4,3.64337481353816,-5,2,790,850,0
344,right,2,231.25,11,4,4.03607389523689,-5,2,684,761,0
348,right,2,253.75,12,4,4.42877297693561,-5,2,621,639,0
352,right,2,276.25,13,4,4.82147205863434,-5,2,609,502,0
356,right,2,298.75,14,4,5.21417114033306,-5,2,650,370,0
360,right,2,321.25,15,4,5.60687022203178,-5,2,739,264,0
364,right,2,343.75,16,4,5.99956930373051,-5,2,861,201,0
305,left,1,16.25,1,4,0.283616003449079,5,3,1059,201,0
309,left,1,38.75,2,4,0.676315085147803,5,3,1181,264,0
313,left,1,61.25,3,4,1.06901416684653,5,3,1270,370,0
317,left,1,83.75,4,4,1.46171324854525,5,3,1311,502,0
321,left,1,106.25,5,4,1.85441233024398,5,3,1299,639,0
325,left,1,128.75,6,4,2.2471114119427,5,3,1236,761,0
329,left,1,151.25,7,4,2.63981049364142,5,3,1130,850,0
333,left,1,173.75,8,4,3.03250957534015,5,3,998,891,0
337,right,2,196.25,9,4,3.42520865703887,5,3,861,879,0
341,right,2,218.75,10,4,3.8179077387376,5,3,739,816,0
345,right,2,241.25,11,4,4.21060682043632,5,3,650,710,0
349,right,2,263.75,12,4,4.60330590213504,5,3,609,578,0
353,right,2,286.25,13,4,4.99600498383377,5,3,621,441,0
357,right,2,308.75,14,4,5.38870406553249,5,3,684,319,0
361,right,2,331.25,15,4,5.78140314723122,5,3,790,230,0
365,right,2,353.75,16,4,6.17410222892994,5,3,922,189,0
306,left,1,26.25,1,4,0.458148928648512,15,4,1116,223,0
310,left,1,48.75,2,4,0.850848010347236,15,4,1226,307,0
314,left,1,71.25,3,4,1.24354709204596,15,4,1295,426,0
318,left,1,93.75,4,4,1.63624617374468,15,4,1313,563,0
322,left,1,116.25,5,4,2.02894525544341,15,4,1277,696,0
326,left,1,138.75,6,4,2.42164433714213,15,4,1193,806,0
330,left,1,161.25,7,4,2.81434341884086,15,4,1074,875,0
334,left,1,183.75,8,4,3.20704250053958,15,4,937,893,0
338,right,2,206.25,9,4,3.5997415822383,15,4,804,857,0
342,right,2,228.75,10,4,3.99244066393703,15,4,694,773,0
346,right,2,251.25,11,4,4.38513974563575,15,4,625,654,0
350,right,2,273.75,12,4,4.77783882733448,15,4,607,517,0
354,right,2,296.25,13,4,5.1705379090332,15,4,643,384,0
358,right,2,318.75,14,4,5.56323699073193,15,4,727,274,0
362,right,2,341.25,15,4,5.95593607243065,15,4,846,205,0
366,right,2,363.75,16,4,6.34863515412937,15,4,983,187,0
