unique_im,stim_pos,stim_pos_i,angle_deg,angle_i,eccen_deg,angle_rad,delta_deg,delta_i,dot_xpos_pix,dot_ypos_pix,is_specialcore
49,left,1,11.25,1,4,0.196349540849362,0,0,891,886,1
50,left,1,33.75,2,4,0.589048622548086,0,0,764,833,0
51,left,1,56.25,3,4,0.98174770424681,0,0,667,736,1
52,left,1,78.75,4,4,1.37444678594553,0,0,614,609,0
53,left,1,101.25,5,4,1.76714586764426,0,0,614,471,1
54,left,1,123.75,6,4,2.15984494934298,0,0,667,344,0
55,left,1,146.25,7,4,2.55254403104171,0,0,764,247,1
56,left,1,168.75,8,4,2.94524311274043,0,0,891,194,0
57,right,2,191.25,9,4,3.33794219443916,0,0,1029,194,1
58,right,2,213.75,10,4,3.73064127613788,0,0,1156,247,0
59,right,2,236.25,11,4,4.1233403578366,0,0,1253,344,1
60,right,2,258.75,12,4,4.51603943953533,0,0,1306,471,0
61,right,2,281.25,13,4,4.90873852123405,0,0,1306,609,1
62,right,2,303.75,14,4,5.30143760293278,0,0,1253,736,0
63,right,2,326.25,15,4,5.6941366846315,0,0,1156,833,1
64,right,2,348.75,16,4,6.08683576633022,0,0,1029,886,0
175,left,1,355.25,1,4,6.20028216770986,-16,1,989,892,0
179,left,1,17.75,2,4,0.309795942228993,-16,1,852,876,0
183,left,1,40.25,3,4,0.702495023927718,-16,1,732,809,0
187,left,1,62.75,4,4,1.09519410562644,-16,1,646,702,0
191,left,1,85.25,5,4,1.48789318732517,-16,1,608,569,0
195,left,1,107.75,6,4,1.88059226902389,-16,1,624,432,0
199,left,1,130.25,7,4,2.27329135072261,-16,1,691,312,0
203,left,1,152.75,8,4,2.66599043242134,-16,1,798,226,0
207,right,2,175.25,9,4,3.05868951412006,-16,1,931,188,0
211,right,2,197.75,10,4,3.45138859581879,-16,1,1068,204,0
215,right,2,220.25,11,4,3.84408767751751,-16,1,1188,271,0
219,right,2,242.75,12,4,4.23678675921624,-16,1,1274,378,0
223,right,2,265.25,13,4,4.62948584091496,-16,1,1312,511,0
227,right,2,287.75,14,4,5.02218492261368,-16,1,1296,648,0
231,right,2,310.25,15,4,5.41488400431241,-16,1,1229,768,0
235,right,2,332.75,16,4,5.80758308601113,-16,1,1122,854,0
176,left,1,3.25,1,4,0.0567232006898157,-8,2,940,892,0
180,left,1,25.75,2,4,0.44942228238854,-8,2,807,858,0
184,left,1,48.25,3,4,0.842121364087264,-8,2,697,775,0
188,left,1,70.75,4,4,1.23482044578599,-8,2,627,656,0
192,left,1,93.25,5,4,1.62751952748471,-8,2,608,520,0
196,left,1,115.75,6,4,2.02021860918344,-8,2,642,387,0
200,left,1,138.25,7,4,2.41291769088216,-8,2,725,277,0
204,left,1,160.75,8,4,2.80561677258088,-8,2,844,207,0
208,right,2,183.25,9,4,3.19831585427961,-8,2,980,188,0
212,right,2,205.75,10,4,3.59101493597833,-8,2,1113,222,0
216,right,2,228.25,11,4,3.98371401767706,-8,2,1223,305,0
220,right,2,250.75,12,4,4.37641309937578,-8,2,1293,424,0
224,right,2,273.25,13,4,4.76911218107451,-8,2,1312,560,0
228,right,2,295.75,14,4,5.16181126277323,-8,2,1278,693,0
232,right,2,318.25,15,4,5.55451034447195,-8,2,1195,803,0
236,right,2,340.75,16,4,5.94720942617068,-8,2,1076,873,0
177,left,1,19.25,1,4,0.335975881008908,8,3,844,873,0
181,left,1,41.75,2,4,0.728674962707633,8,3,725,803,0
185,left,1,64.25,3,4,1.12137404440636,8,3,642,693,0
189,left,1,86.75,4,4,1.51407312610508,8,3,608,560,0
193,left,1,109.25,5,4,1.9067722078038,8,3,627,424,0
197,left,1,131.75,6,4,2.29947128950253,8,3,697,305,0
201,left,1,154.25,7,4,2.69217037120125,8,3,807,222,0
205,left,1,176.75,8,4,3.08486945289998,8,3,940,188,0
209,right,2,199.25,9,4,3.4775685345987,8,3,1076,207,0
213,right,2,221.75,10,4,3.87026761629743,8,3,1195,277,0
217,right,2,244.25,11,4,4.26296669799615,8,3,1278,387,0
221,right,2,266.75,12,4,4.65566577969487,8,3,1312,520,0
225,right,2,289.25,13,4,5.0483648613936,8,3,1293,656,0
229,right,2,311.75,14,4,5.44106394309232,8,3,1223,775,0
233,right,2,334.25,15,4,5.83376302479105,8,3,1113,858,0
237,right,2,356.75,16,4,6.22646210648977,8,3,980,892,0
178,left,1,27.25,1,4,0.475602221168455,16,4,798,854,0
182,left,1,49.75,2,4,0.868301302867179,16,4,691,768,0
186,left,1,72.25,3,4,1.2610003845659,16,4,624,648,0
190,left,1,94.75,4,4,1.65369946626463,16,4,608,511,0
194,left,1,117.25,5,4,2.04639854796335,16,4,646,378,0
198,left,1,139.75,6,4,2.43909762966208,16,4,732,271,0
202,left,1,162.25,7,4,2.8317967113608,16,4,852,204,0
206,left,1,184.75,8,4,3.22449579305952,16,4,989,188,0
210,right,2,207.25,9,4,3.61719487475825,16,4,1122,226,0
214,right,2,229.75,10,4,4.00989395645697,16,4,1229,312,0
218,right,2,252.25,11,4,4.4025930381557,16,4,1296,432,0
222,right,2,274.75,12,4,4.79529211985442,16,4,1312,569,0
226,right,2,297.25,13,4,5.18799120155314,16,4,1274,702,0
230,right,2,319.75,14,4,5.58069028325187,16,4,1188,809,0
234,right,2,342.25,15,4,5.97338936495059,16,4,1068,876,0
238,right,2,364.75,16,4,6.36608844664932,16,4,931,892,0
