unique_im,stim_pos,stim_pos_i,angle_deg,angle_i,eccen_deg,angle_rad,delta_deg,delta_i,dot_xpos_pix,dot_ypos_pix,is_specialcore
49,left,1,11.25,1,4,0.196349540849362,0,0,1010,347,1
50,left,1,33.75,2,4,0.589048622548086,0,0,1103,386,0
51,left,1,56.25,3,4,0.98174770424681,0,0,1174,457,1
52,left,1,78.75,4,4,1.37444678594553,0,0,1213,550,0
53,left,1,101.25,5,4,1.76714586764426,0,0,1213,650,1
54,left,1,123.75,6,4,2.15984494934298,0,0,1174,743,0
55,left,1,146.25,7,4,2.55254403104171,0,0,1103,814,1
56,left,1,168.75,8,4,2.94524311274043,0,0,1010,853,0
57,right,2,191.25,9,4,3.33794219443916,0,0,910,853,1
58,right,2,213.75,10,4,3.73064127613788,0,0,817,814,0
59,right,2,236.25,11,4,4.1233403578366,0,0,746,743,1
60,right,2,258.75,12,4,4.51603943953533,0,0,707,650,0
61,right,2,281.25,13,4,4.90873852123405,0,0,707,550,1
62,right,2,303.75,14,4,5.30143760293278,0,0,746,457,0
63,right,2,326.25,15,4,5.6941366846315,0,0,817,386,1
64,right,2,348.75,16,4,6.08683576633022,0,0,910,347,0
303,left,1,356.25,1,4,6.2177354602298,-15,1,943,343,0
307,left,1,18.75,2,4,0.327249234748937,-15,1,1043,356,0
311,left,1,41.25,3,4,0.719948316447661,-15,1,1130,406,0
315,left,1,63.75,4,4,1.11264739814639,-15,1,1191,486,0
319,left,1,86.25,5,4,1.50534647984511,-15,1,1217,583,0
323,left,1,108.75,6,4,1.89804556154383,-15,1,1204,683,0
327,left,1,131.25,7,4,2.29074464324256,-15,1,1154,770,0
331,left,1,153.75,8,4,2.68344372494128,-15,1,1074,831,0
335,right,2,176.25,9,4,3.07614280664001,-15,1,977,857,0
339,right,2,198.75,10,4,3.46884188833873,-15,1,877,844,0
343,right,2,221.25,11,4,3.86154097003745,-15,1,790,794,0
347,right,2,243.75,12,4,4.25424005173618,-15,1,729,714,0
351,right,2,266.25,13,4,4.6469391334349,-15,1,703,617,0
355,right,2,288.75,14,4,5.03963821513363,-15,1,716,517,0
359,right,2,311.25,15,4,5.43233729683235,-15,1,766,430,0
363,right,2,333.75,16,4,5.82503637853107,-15,1,846,369,0
304,left,1,6.25,1,4,0.109083078249646,-5,2,988,344,0
308,left,1,28.75,2,4,0.50178215994837,-5,2,1084,374,0
312,left,1,51.25,3,4,0.894481241647094,-5,2,1161,439,0
316,left,1,73.75,4,4,1.28718032334582,-5,2,1207,528,0
320,left,1,96.25,5,4,1.67987940504454,-5,2,1216,628,0
324,left,1,118.75,6,4,2.07257848674327,-5,2,1186,724,0
328,left,1,141.25,7,4,2.46527756844199,-5,2,1121,801,0
332,left,1,163.75,8,4,2.85797665014071,-5,2,1032,847,0
336,right,2,186.25,9,4,3.25067573183944,-5,2,932,856,0
340,right,2,208.75,10,4,3.64337481353816,-5,2,836,826,0
344,right,2,231.25,11,4,4.03607389523689,-5,2,759,761,0
348,right,2,253.75,12,4,4.42877297693561,-5,2,713,672,0
352,right,2,276.25,13,4,4.82147205863434,-5,2,704,572,0
356,right,2,298.75,14,4,5.21417114033306,-5,2,734,476,0
360,right,2,321.25,15,4,5.60687022203178,-5,2,799,399,0
364,right,2,343.75,16,4,5.99956930373051,-5,2,888,353,0
305,left,1,16.25,1,4,0.283616003449079,5,3,1032,353,0
309,left,1,38.75,2,4,0.676315085147803,5,3,1121,399,0
313,left,1,61.25,3,4,1.06901416684653,5,3,1186,476,0
317,left,1,83.75,4,4,1.46171324854525,5,3,1216,572,0
321,left,1,106.25,5,4,1.85441233024398,5,3,1207,672,0
325,left,1,128.75,6,4,2.2471114119427,5,3,1161,761,0
329,left,1,151.25,7,4,2.63981049364142,5,3,1084,826,0
333,left,1,173.75,8,4,3.03250957534015,5,3,988,856,0
337,right,2,196.25,9,4,3.42520865703887,5,3,888,847,0
341,right,2,218.75,10,4,3.8179077387376,5,3,799,801,0
345,right,2,241.25,11,4,4.21060682043632,5,3,734,724,0
349,right,2,263.75,12,4,4.60330590213504,5,3,704,628,0
353,right,2,286.25,13,4,4.99600498383377,5,3,713,528,0
357,right,2,308.75,14,4,5.38870406553249,5,3,759,439,0
361,right,2,331.25,15,4,5.78140314723122,5,3,836,374,0
365,right,2,353.75,16,4,6.17410222892994,5,3,932,344,0
306,left,1,26.25,1,4,0.458148928648512,15,4,1074,369,0
310,left,1,48.75,2,4,0.850848010347236,15,4,1154,430,0
314,left,1,71.25,3,4,1.24354709204596,15,4,1204,517,0
318,left,1,93.75,4,4,1.63624617374468,15,4,1217,617,0
322,left,1,116.25,5,4,2.02894525544341,15,4,1191,714,0
326,left,1,138.75,6,4,2.42164433714213,15,4,1130,794,0
330,left,1,161.25,7,4,2.81434341884086,15,4,1043,844,0
334,left,1,183.75,8,4,3.20704250053958,15,4,943,857,0
338,right,2,206.25,9,4,3.5997415822383,15,4,846,831,0
342,right,2,228.75,10,4,3.99244066393703,15,4,766,770,0
346,right,2,251.25,11,4,4.38513974563575,15,4,716,683,0
350,right,2,273.75,12,4,4.77783882733448,15,4,703,583,0
354,right,2,296.25,13,4,5.1705379090332,15,4,729,486,0
358,right,2,318.75,14,4,5.56323699073193,15,4,790,406,0
362,right,2,341.25,15,4,5.95593607243065,15,4,877,356,0
366,right,2,363.75,16,4,6.34863515412937,15,4,977,343,0
