luminance,rim_width,color_side,rim_color_1,rim_color_2,rim_color_3
6,thin,both,255,255,255
27,thin,both,255,255,255
64,thin,both,255,255,255
116,thin,both,255,255,255
184,thin,both,255,255,255
128,thin,both,255,255,255
6,thick,both,255,255,255
27,thick,both,255,255,255
64,thick,both,255,255,255
116,thick,both,255,255,255
184,thick,both,255,255,255
128,thick,both,255,255,255
6,thick,left,255,0,0
27,thick,left,255,0,0
64,thick,left,255,0,0
116,thick,left,255,0,0
184,thick,left,255,0,0
128,thick,left,255,0,0
6,thick,right,255,0,0
27,thick,right,255,0,0
64,thick,right,255,0,0
116,thick,right,255,0,0
184,thick,right,255,0,0
128,thick,right,255,0,0
6,thick,both,255,0,0
27,thick,both,255,0,0
64,thick,both,255,0,0
116,thick,both,255,0,0
184,thick,both,255,0,0
128,thick,both,255,0,0
6,thick,both,0,0,0
27,thick,both,0,0,0
64,thick,both,0,0,0
116,thick,both,0,0,0
184,thick,both,0,0,0
128,thick,both,0,0,0
