unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore
1,left,1,11.25,1,0.05,1,0,1,0,0,0
9,right,2,11.25,1,0.2,2,0,1,0,0,0
17,left,1,11.25,1,0.8,3,0,1,0,0,1
111,,NaN,11.25,1,0.8,3,0,1,-16,1,0
112,,NaN,11.25,1,0.8,3,0,1,-8,2,0
113,,NaN,11.25,1,0.8,3,0,1,8,3,0
114,,NaN,11.25,1,0.8,3,0,1,16,4,0
2,right,2,33.75,2,0.05,1,90,2,0,0,0
10,left,1,33.75,2,0.2,2,90,2,0,0,0
18,right,2,33.75,2,0.8,3,90,2,0,0,1
115,,NaN,33.75,2,0.8,3,90,2,-16,1,0
116,,NaN,33.75,2,0.8,3,90,2,-8,2,0
117,,NaN,33.75,2,0.8,3,90,2,8,3,0
118,,NaN,33.75,2,0.8,3,90,2,16,4,0
3,left,1,56.25,3,0.05,1,180,3,0,0,0
11,right,2,56.25,3,0.2,2,180,3,0,0,0
19,left,1,56.25,3,0.8,3,180,3,0,0,1
119,,NaN,56.25,3,0.8,3,180,3,-16,1,0
120,,NaN,56.25,3,0.8,3,180,3,-8,2,0
121,,NaN,56.25,3,0.8,3,180,3,8,3,0
122,,NaN,56.25,3,0.8,3,180,3,16,4,0
4,right,2,78.75,4,0.05,1,270,4,0,0,0
12,left,1,78.75,4,0.2,2,270,4,0,0,0
20,right,2,78.75,4,0.8,3,270,4,0,0,1
123,,NaN,78.75,4,0.8,3,270,4,-16,1,0
124,,NaN,78.75,4,0.8,3,270,4,-8,2,0
125,,NaN,78.75,4,0.8,3,270,4,8,3,0
126,,NaN,78.75,4,0.8,3,270,4,16,4,0
5,left,1,101.25,5,0.05,1,0,1,0,0,0
13,right,2,101.25,5,0.2,2,0,1,0,0,0
21,left,1,101.25,5,0.8,3,0,1,0,0,1
127,,NaN,101.25,5,0.8,3,0,1,-16,1,0
128,,NaN,101.25,5,0.8,3,0,1,-8,2,0
129,,NaN,101.25,5,0.8,3,0,1,8,3,0
130,,NaN,101.25,5,0.8,3,0,1,16,4,0
6,right,2,123.75,6,0.05,1,90,2,0,0,0
14,left,1,123.75,6,0.2,2,90,2,0,0,0
22,right,2,123.75,6,0.8,3,90,2,0,0,1
131,,NaN,123.75,6,0.8,3,90,2,-16,1,0
132,,NaN,123.75,6,0.8,3,90,2,-8,2,0
133,,NaN,123.75,6,0.8,3,90,2,8,3,0
134,,NaN,123.75,6,0.8,3,90,2,16,4,0
7,left,1,146.25,7,0.05,1,180,3,0,0,0
15,right,2,146.25,7,0.2,2,180,3,0,0,0
23,left,1,146.25,7,0.8,3,180,3,0,0,1
135,,NaN,146.25,7,0.8,3,180,3,-16,1,0
136,,NaN,146.25,7,0.8,3,180,3,-8,2,0
137,,NaN,146.25,7,0.8,3,180,3,8,3,0
138,,NaN,146.25,7,0.8,3,180,3,16,4,0
8,right,2,168.75,8,0.05,1,270,4,0,0,0
16,left,1,168.75,8,0.2,2,270,4,0,0,0
24,right,2,168.75,8,0.8,3,270,4,0,0,1
139,,NaN,168.75,8,0.8,3,270,4,-16,1,0
140,,NaN,168.75,8,0.8,3,270,4,-8,2,0
141,,NaN,168.75,8,0.8,3,270,4,8,3,0
142,,NaN,168.75,8,0.8,3,270,4,16,4,0
