unique_im,stim_pos,stim_pos_i,orient_deg,orient_i,contrast,contrast_i,phase_deg,phase_i,delta_deg,delta_i,is_specialcore
1,left,1,11.25,1,0.05,1,0,1,0,0,0
9,right,2,11.25,1,0.2,2,0,1,0,0,0
17,left,1,11.25,1,0.8,3,0,1,0,0,1
111,right,2,11.25,1,0.05,1,0,1,-15,1,0
143,left,1,11.25,1,0.2,2,0,1,-15,1,0
175,right,2,11.25,1,0.8,3,0,1,-15,1,0
112,left,1,11.25,1,0.05,1,0,1,-5,2,0
144,right,2,11.25,1,0.2,2,0,1,-5,2,0
176,left,1,11.25,1,0.8,3,0,1,-5,2,0
113,right,2,11.25,1,0.05,1,0,1,5,3,0
145,left,1,11.25,1,0.2,2,0,1,5,3,0
177,right,2,11.25,1,0.8,3,0,1,5,3,0
114,left,1,11.25,1,0.05,1,0,1,15,4,0
146,right,2,11.25,1,0.2,2,0,1,15,4,0
178,left,1,11.25,1,0.8,3,0,1,15,4,0
2,right,2,33.75,2,0.05,1,90,2,0,0,0
10,left,1,33.75,2,0.2,2,90,2,0,0,0
18,right,2,33.75,2,0.8,3,90,2,0,0,1
115,left,1,33.75,2,0.05,1,90,2,-15,1,0
147,right,2,33.75,2,0.2,2,90,2,-15,1,0
179,left,1,33.75,2,0.8,3,90,2,-15,1,0
116,right,2,33.75,2,0.05,1,90,2,-5,2,0
148,left,1,33.75,2,0.2,2,90,2,-5,2,0
180,right,2,33.75,2,0.8,3,90,2,-5,2,0
117,left,1,33.75,2,0.05,1,90,2,5,3,0
149,right,2,33.75,2,0.2,2,90,2,5,3,0
181,left,1,33.75,2,0.8,3,90,2,5,3,0
118,right,2,33.75,2,0.05,1,90,2,15,4,0
150,left,1,33.75,2,0.2,2,90,2,15,4,0
182,right,2,33.75,2,0.8,3,90,2,15,4,0
3,left,1,56.25,3,0.05,1,180,3,0,0,0
11,right,2,56.25,3,0.2,2,180,3,0,0,0
19,left,1,56.25,3,0.8,3,180,3,0,0,1
119,right,2,56.25,3,0.05,1,180,3,-15,1,0
151,left,1,56.25,3,0.2,2,180,3,-15,1,0
183,right,2,56.25,3,0.8,3,180,3,-15,1,0
120,left,1,56.25,3,0.05,1,180,3,-5,2,0
152,right,2,56.25,3,0.2,2,180,3,-5,2,0
184,left,1,56.25,3,0.8,3,180,3,-5,2,0
121,right,2,56.25,3,0.05,1,180,3,5,3,0
