filename,unique_im,stim_pos_name,stim_pos,super_cat_name,super_cat,basic_cat_name,basic_cat,sub_cat_name,sub_cat,affordance_name,affordance_cat,is_specialcore,is_objectcatch,base_rot,abs_rot,rel_rot,facing_dir,rel_rot_name,img_quiz_dots_overlap,img_quiz_dot1_x_pix,img_quiz_dot1_y_pix,img_quiz_dot2_x_pix,img_quiz_dot2_y_pix,img_quiz_dot1_x_deg,img_quiz_dot1_y_deg,img_quiz_dot2_x_deg,img_quiz_dot2_y_deg,img_quiz_dot1_orient_deg,img_quiz_dot2_orient_deg,img_quiz_dot_specialcore_stim_nr,img_quiz_dot_filename,ltm_paired_stim,ltm_paired_stim_class_i
faces_damonwayans_rot36.png,65,left,1,human,1,facemale,1,damon,1,greet,1,1,0,70,70,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,2
faces_lisa_rot19.png,66,right,2,human,1,facefemale,2,lisa,2,greet,1,0,0,36,36,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
faces_sophia_rot73.png,67,left,1,human,1,facefemale,2,sophia,3,greet,1,1,0,144,144,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,3
animals_parrot_rot17.png,68,right,2,animal,2,small,1,parrot,1,greet,1,0,0,32,32,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
animals_cat_rot71.png,69,left,1,animal,2,small,1,cat,2,greet,1,1,0,140,140,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,2
animals_bear_rot49.png,70,right,2,animal,2,large,2,bear,3,observe,4,0,0,96,96,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
animals_giraffe_rot26.png,71,left,1,animal,2,large,2,giraffe,4,observe,4,1,0,50,50,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,1
tools_drill_rot66.png,72,right,2,object,3,tool,1,drill,1,grasp,2,1,0,130,130,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,1
tools_brush_rot14.png,73,left,1,object,3,tool,1,brush,2,grasp,2,0,0,26,26,0,sideways,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
vehicles_bus_rot43.png,74,right,2,object,3,vehicle,2,bus,3,enter,3,1,0,84,84,0,forward,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46,2
