unique_im,stim_pos,stim_pos_i,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,is_in_img_ltm,dot_pos
25,left,1,22.5,1,0.25,1,0,0,0,
207,left,1,7.5,1,0.25,1,-15,1,0,
208,left,1,17.5,1,0.25,1,-5,2,0,
209,left,1,27.5,1,0.25,1,5,3,0,
210,left,1,37.5,1,0.25,1,15,4,0,
26,right,2,67.5,2,0.25,1,0,0,0,
211,right,2,52.5,2,0.25,1,-15,1,0,
212,right,2,62.5,2,0.25,1,-5,2,0,
213,right,2,72.5,2,0.25,1,5,3,0,
214,right,2,82.5,2,0.25,1,15,4,0,
27,left,1,112.5,3,0.25,1,0,0,0,
215,left,1,97.5,3,0.25,1,-15,1,0,
216,left,1,107.5,3,0.25,1,-5,2,0,
217,left,1,117.5,3,0.25,1,5,3,0,
218,left,1,127.5,3,0.25,1,15,4,0,
28,right,2,157.5,4,0.25,1,0,0,0,
219,right,2,142.5,4,0.25,1,-15,1,0,
220,right,2,152.5,4,0.25,1,-5,2,0,
221,right,2,162.5,4,0.25,1,5,3,0,
222,right,2,172.5,4,0.25,1,15,4,0,
29,left,1,202.5,5,0.25,1,0,0,0,
223,left,1,187.5,5,0.25,1,-15,1,0,
224,left,1,197.5,5,0.25,1,-5,2,0,
225,left,1,207.5,5,0.25,1,5,3,0,
226,left,1,217.5,5,0.25,1,15,4,0,
30,right,2,247.5,6,0.25,1,0,0,0,
227,right,2,232.5,6,0.25,1,-15,1,0,
228,right,2,242.5,6,0.25,1,-5,2,0,
229,right,2,252.5,6,0.25,1,5,3,0,
230,right,2,262.5,6,0.25,1,15,4,0,
31,left,1,292.5,7,0.25,1,0,0,0,
231,left,1,277.5,7,0.25,1,-15,1,0,
232,left,1,287.5,7,0.25,1,-5,2,0,
233,left,1,297.5,7,0.25,1,5,3,0,
234,left,1,307.5,7,0.25,1,15,4,0,
32,right,2,337.5,8,0.25,1,0,0,0,
235,right,2,322.5,8,0.25,1,-15,1,0,
236,right,2,332.5,8,0.25,1,-5,2,0,
237,right,2,342.5,8,0.25,1,5,3,0,
238,right,2,352.5,8,0.25,1,15,4,0,
33,left,1,22.5,1,0.5,2,0,0,0,
239,left,1,7.5,1,0.5,2,-15,1,0,
240,left,1,17.5,1,0.5,2,-5,2,0,
241,left,1,27.5,1,0.5,2,5,3,0,
242,left,1,37.5,1,0.5,2,15,4,0,
34,right,2,67.5,2,0.5,2,0,0,0,
243,right,2,52.5,2,0.5,2,-15,1,0,
244,right,2,62.5,2,0.5,2,-5,2,0,
245,right,2,72.5,2,0.5,2,5,3,0,
246,right,2,82.5,2,0.5,2,15,4,0,
35,left,1,112.5,3,0.5,2,0,0,0,
247,left,1,97.5,3,0.5,2,-15,1,0,
248,left,1,107.5,3,0.5,2,-5,2,0,
249,left,1,117.5,3,0.5,2,5,3,0,
250,left,1,127.5,3,0.5,2,15,4,0,
36,right,2,157.5,4,0.5,2,0,0,0,
251,right,2,142.5,4,0.5,2,-15,1,0,
252,right,2,152.5,4,0.5,2,-5,2,0,
253,right,2,162.5,4,0.5,2,5,3,0,
254,right,2,172.5,4,0.5,2,15,4,0,
37,left,1,202.5,5,0.5,2,0,0,0,
255,left,1,187.5,5,0.5,2,-15,1,0,
256,left,1,197.5,5,0.5,2,-5,2,0,
257,left,1,207.5,5,0.5,2,5,3,0,
258,left,1,217.5,5,0.5,2,15,4,0,
38,right,2,247.5,6,0.5,2,0,0,0,
259,right,2,232.5,6,0.5,2,-15,1,0,
260,right,2,242.5,6,0.5,2,-5,2,0,
261,right,2,252.5,6,0.5,2,5,3,0,
262,right,2,262.5,6,0.5,2,15,4,0,
39,left,1,292.5,7,0.5,2,0,0,0,
263,left,1,277.5,7,0.5,2,-15,1,0,
264,left,1,287.5,7,0.5,2,-5,2,0,
265,left,1,297.5,7,0.5,2,5,3,0,
266,left,1,307.5,7,0.5,2,15,4,0,
40,right,2,337.5,8,0.5,2,0,0,0,
267,right,2,322.5,8,0.5,2,-15,1,0,
268,right,2,332.5,8,0.5,2,-5,2,0,
269,right,2,342.5,8,0.5,2,5,3,0,
270,right,2,352.5,8,0.5,2,15,4,0,
41,left,1,22.5,1,1,3,0,0,1,
271,left,1,7.5,1,1,3,-15,1,0,
272,left,1,17.5,1,1,3,-5,2,0,
273,left,1,27.5,1,1,3,5,3,0,
274,left,1,37.5,1,1,3,15,4,0,
42,right,2,67.5,2,1,3,0,0,1,
275,right,2,52.5,2,1,3,-15,1,0,
276,right,2,62.5,2,1,3,-5,2,0,
277,right,2,72.5,2,1,3,5,3,0,
278,right,2,82.5,2,1,3,15,4,0,
43,left,1,112.5,3,1,3,0,0,1,
279,left,1,97.5,3,1,3,-15,1,0,
280,left,1,107.5,3,1,3,-5,2,0,
281,left,1,117.5,3,1,3,5,3,0,
282,left,1,127.5,3,1,3,15,4,0,
44,right,2,157.5,4,1,3,0,0,1,
283,right,2,142.5,4,1,3,-15,1,0,
284,right,2,152.5,4,1,3,-5,2,0,
285,right,2,162.5,4,1,3,5,3,0,
286,right,2,172.5,4,1,3,15,4,0,
45,left,1,202.5,5,1,3,0,0,1,
287,left,1,187.5,5,1,3,-15,1,0,
288,left,1,197.5,5,1,3,-5,2,0,
289,left,1,207.5,5,1,3,5,3,0,
290,left,1,217.5,5,1,3,15,4,0,
46,right,2,247.5,6,1,3,0,0,1,
291,right,2,232.5,6,1,3,-15,1,0,
