unique_im,is_specialcore,stim_pos,dot_motdir_deg,dot_motdir_deg_i,dot_coh,dot_coh_i,rel_motdir_deg,rel_motdir_deg_i,is_special_core,dot_pos
25,0,left,22.5,1,0.3,1,0,0,NaN,
26,0,left,67.5,2,0.3,1,0,0,NaN,
27,0,left,112.5,3,0.3,1,0,0,NaN,
28,0,left,157.5,4,0.3,1,0,0,NaN,
29,0,left,202.5,5,0.3,1,0,0,NaN,
30,0,right,247.5,6,0.3,1,0,0,NaN,
31,0,right,292.5,7,0.3,1,0,0,NaN,
32,0,right,337.5,8,0.3,1,0,0,NaN,
33,0,right,22.5,1,0.65,2,0,0,NaN,
34,0,right,67.5,2,0.65,2,0,0,NaN,
35,0,left,112.5,3,0.65,2,0,0,NaN,
36,0,left,157.5,4,0.65,2,0,0,NaN,
37,0,left,202.5,5,0.65,2,0,0,NaN,
38,0,left,247.5,6,0.65,2,0,0,NaN,
39,0,left,292.5,7,0.65,2,0,0,NaN,
40,0,right,337.5,8,0.65,2,0,0,NaN,
41,1,right,22.5,1,1,3,0,0,NaN,
143,0,right,2.5,1,1,3,-20,1,NaN,
144,0,right,12.5,1,1,3,-10,2,NaN,
145,0,right,32.5,1,1,3,10,3,NaN,
146,0,left,42.5,1,1,3,20,4,NaN,
42,1,left,67.5,2,1,3,0,0,NaN,
147,0,left,47.5,2,1,3,-20,1,NaN,
148,0,left,57.5,2,1,3,-10,2,NaN,
149,0,left,77.5,2,1,3,10,3,NaN,
150,0,right,87.5,2,1,3,20,4,NaN,
43,1,right,112.5,3,1,3,0,0,NaN,
151,0,right,92.5,3,1,3,-20,1,NaN,
152,0,right,102.5,3,1,3,-10,2,NaN,
153,0,right,122.5,3,1,3,10,3,NaN,
154,0,left,132.5,3,1,3,20,4,NaN,
44,1,left,157.5,4,1,3,0,0,NaN,
155,0,left,137.5,4,1,3,-20,1,NaN,
156,0,left,147.5,4,1,3,-10,2,NaN,
157,0,left,167.5,4,1,3,10,3,NaN,
158,0,right,177.5,4,1,3,20,4,NaN,
45,1,right,202.5,5,1,3,0,0,NaN,
159,0,right,182.5,5,1,3,-20,1,NaN,
160,0,right,192.5,5,1,3,-10,2,NaN,
161,0,right,212.5,5,1,3,10,3,NaN,
162,0,left,222.5,5,1,3,20,4,NaN,
46,1,left,247.5,6,1,3,0,0,NaN,
163,0,left,227.5,6,1,3,-20,1,NaN,
164,0,left,237.5,6,1,3,-10,2,NaN,
165,0,left,257.5,6,1,3,10,3,NaN,
166,0,right,267.5,6,1,3,20,4,NaN,
47,1,right,292.5,7,1,3,0,0,NaN,
167,0,right,272.5,7,1,3,-20,1,NaN,
168,0,right,282.5,7,1,3,-10,2,NaN,
169,0,right,302.5,7,1,3,10,3,NaN,
170,0,left,312.5,7,1,3,20,4,NaN,
48,1,left,337.5,8,1,3,0,0,NaN,
171,0,left,317.5,8,1,3,-20,1,NaN,
172,0,left,327.5,8,1,3,-10,2,NaN,
173,0,left,347.5,8,1,3,10,3,NaN,
174,0,right,357.5,8,1,3,20,4,NaN,
