unique_im,stim_pos,stim_pos_i,angle_deg,angle_i,eccen_deg,angle_rad,delta_deg,delta_i,dot_xpos_pix,dot_ypos_pix,is_specialcore
49,left,1,348.75,1,4,6.08683576633022,0,0,891,194,1
50,left,1,326.25,2,4,5.6941366846315,0,0,764,247,0
51,left,1,303.75,3,4,5.30143760293278,0,0,667,344,1
52,left,1,281.25,4,4,4.90873852123405,0,0,614,471,0
53,left,1,258.75,5,4,4.51603943953533,0,0,614,609,1
54,left,1,236.25,6,4,4.1233403578366,0,0,667,736,0
55,left,1,213.75,7,4,3.73064127613788,0,0,764,833,1
56,left,1,191.25,8,4,3.33794219443916,0,0,891,886,0
57,right,2,168.75,9,4,2.94524311274043,0,0,1029,886,1
58,right,2,146.25,10,4,2.55254403104171,0,0,1156,833,0
59,right,2,123.75,11,4,2.15984494934298,0,0,1253,736,1
60,right,2,101.25,12,4,1.76714586764426,0,0,1306,609,0
61,right,2,78.75,13,4,1.37444678594553,0,0,1306,471,1
62,right,2,56.25,14,4,0.98174770424681,0,0,1253,344,0
63,right,2,33.75,15,4,0.589048622548086,0,0,1156,247,1
64,right,2,11.25,16,4,0.196349540849362,0,0,1029,194,0
175,left,1,336.75,1,4,5.8773962560909,-12,1,821,216,0
179,left,1,314.25,2,4,5.48469717439218,-12,1,707,294,0
183,left,1,291.75,3,4,5.09199809269346,-12,1,632,409,0
187,left,1,269.25,4,4,4.69929901099473,-12,1,607,545,0
191,left,1,246.75,5,4,4.30659992929601,-12,1,636,679,0
195,left,1,224.25,6,4,3.91390084759728,-12,1,714,793,0
199,left,1,201.75,7,4,3.52120176589856,-12,1,829,868,0
203,left,1,179.25,8,4,3.12850268419984,-12,1,965,893,0
207,right,2,156.75,9,4,2.73580360250111,-12,1,1099,864,0
211,right,2,134.25,10,4,2.34310452080239,-12,1,1213,786,0
215,right,2,111.75,11,4,1.95040543910366,-12,1,1288,671,0
219,right,2,89.25,12,4,1.55770635740494,-12,1,1313,535,0
223,right,2,66.75,13,4,1.16500727570621,-12,1,1284,401,0
227,right,2,44.25,14,4,0.772308194007491,-12,1,1206,287,0
231,right,2,21.75,15,4,0.379609112308767,-12,1,1091,212,0
235,right,2,359.25,16,4,6.27009533778963,-12,1,955,187,0
176,left,1,342.75,1,4,5.98211601121056,-6,2,855,203,0
180,left,1,320.25,2,4,5.58941692951184,-6,2,734,269,0
184,left,1,297.75,3,4,5.19671784781312,-6,2,648,376,0
188,left,1,275.25,4,4,4.80401876611439,-6,2,609,508,0
192,left,1,252.75,5,4,4.41131968441567,-6,2,623,645,0
196,left,1,230.25,6,4,4.01862060271694,-6,2,689,766,0
200,left,1,207.75,7,4,3.62592152101822,-6,2,796,852,0
204,left,1,185.25,8,4,3.2332224393195,-6,2,928,891,0
208,right,2,162.75,9,4,2.84052335762077,-6,2,1065,877,0
212,right,2,140.25,10,4,2.44782427592205,-6,2,1186,811,0
216,right,2,117.75,11,4,2.05512519422332,-6,2,1272,704,0
220,right,2,95.25,12,4,1.6624261125246,-6,2,1311,572,0
224,right,2,72.75,13,4,1.26972703082587,-6,2,1297,435,0
228,right,2,50.25,14,4,0.877027949127151,-6,2,1231,314,0
232,right,2,27.75,15,4,0.484328867428426,-6,2,1124,228,0
236,right,2,5.25,16,4,0.0916297857297023,-6,2,992,189,0
177,left,1,354.75,1,4,6.19155552144988,6,3,928,189,0
181,left,1,332.25,2,4,5.79885643975116,6,3,796,228,0
185,left,1,309.75,3,4,5.40615735805244,6,3,689,314,0
189,left,1,287.25,4,4,5.01345827635371,6,3,623,435,0
193,left,1,264.75,5,4,4.62075919465499,6,3,609,572,0
197,left,1,242.25,6,4,4.22806011295626,6,3,648,704,0
201,left,1,219.75,7,4,3.83536103125754,6,3,734,811,0
205,left,1,197.25,8,4,3.44266194955881,6,3,855,877,0
209,right,2,174.75,9,4,3.04996286786009,6,3,992,891,0
213,right,2,152.25,10,4,2.65726378616137,6,3,1124,852,0
217,right,2,129.75,11,4,2.26456470446264,6,3,1231,766,0
221,right,2,107.25,12,4,1.87186562276392,6,3,1297,645,0
225,right,2,84.75,13,4,1.47916654106519,6,3,1311,508,0
229,right,2,62.25,14,4,1.08646745936647,6,3,1272,376,0
233,right,2,39.75,15,4,0.693768377667746,6,3,1186,269,0
237,right,2,17.25,16,4,0.301069295969022,6,3,1065,203,0
178,left,1,360.75,1,4,6.29627527656954,12,4,965,187,0
182,left,1,338.25,2,4,5.90357619487082,12,4,829,212,0
186,left,1,315.75,3,4,5.5108771131721,12,4,714,287,0
190,left,1,293.25,4,4,5.11817803147337,12,4,636,401,0
194,left,1,270.75,5,4,4.72547894977465,12,4,607,535,0
198,left,1,248.25,6,4,4.33277986807592,12,4,632,671,0
202,left,1,225.75,7,4,3.9400807863772,12,4,707,786,0
206,left,1,203.25,8,4,3.54738170467847,12,4,821,864,0
210,right,2,180.75,9,4,3.15468262297975,12,4,955,893,0
214,right,2,158.25,10,4,2.76198354128103,12,4,1091,868,0
218,right,2,135.75,11,4,2.3692844595823,12,4,1206,793,0
222,right,2,113.25,12,4,1.97658537788358,12,4,1284,679,0
226,right,2,90.75,13,4,1.58388629618485,12,4,1313,545,0
230,right,2,68.25,14,4,1.19118721448613,12,4,1288,409,0
234,right,2,45.75,15,4,0.798488132787406,12,4,1213,294,0
238,right,2,23.25,16,4,0.405789051088682,12,4,1099,216,0
